place shape_1 top 10 10
place shape_2 shape_1 10 10
place shape_3 top 100 100
place shape_4 shape_1 20 20
place shape_5 shape_4 200 200
place shape_6 shape_5 100 200
place shape_7 shape_6 300 400
place shape_8 shape_2 100 200
place shape_9 shape_8 300 400
place shape_10 shape_9 100 200
place shape_11 shape_10 300 400
place shape_12 top 100 200
place shape_13 shape_12 300 400
place shape_14 shape_13 100 200
place shape_15 shape_14 300 400
place shape_16 shape_15 100 200
place shape_17 shape_16 300 400
place shape_18 shape_1 100 200
place shape_19 shape_18 300 401
place shape_20 shape_10 100 50
